pair_id,page_url,before_path,after_path,room_type,split,src_before,src_after,style_desc,style_primary,style_secondary,style_conf,style_evidence
8e4a18cdf683b7367c,https://www.hgtv.com/shows/property-brothers/jonathan-and-drew-scotts-50-most-dramatic-transformations-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/kitchen__8e4a18cdf683b7367c_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/kitchen__8e4a18cdf683b7367c_orig.jpg,kitchen,train,/home/jupyter/clean_108_WITH_LABELS/before/kitchen__8e4a18cdf683b7367c.jpg,/home/jupyter/clean_108_WITH_LABELS/after/kitchen__8e4a18cdf683b7367c.jpg,"taupe walls with terracotta accent, white raised-panel cabinetry, granite countertops, brown tile flooring, recessed lighting, transitional",Traditional,Rustic,high,"White raised-panel cabinets, speckled granite countertops, tumbled stone tile backsplash, warm tile flooring, and a gooseneck faucet."
518be685c29c23b28e,https://www.hgtv.com/shows/property-brothers/jonathan-and-drew-scotts-50-most-dramatic-transformations-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__518be685c29c23b28e_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__518be685c29c23b28e_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__518be685c29c23b28e.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__518be685c29c23b28e.jpg,"warm gray walls, white built-in shelving with terracotta backing, hardwood flooring, soft table lamp lighting, eclectic transitional",Contemporary,Mid-Century Modern,medium,"Bold orange and blue accents, graphic striped rug, abstract floral artwork, clean-lined grey sofa, and tiled fireplace mantel."
e060ff269e34881039,https://www.hgtv.com/shows/property-brothers/jonathan-and-drew-scotts-50-most-dramatic-transformations-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__e060ff269e34881039_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__e060ff269e34881039_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__e060ff269e34881039.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__e060ff269e34881039.jpg,"Neutral walls with chevron column, dark wood built-ins, travertine tile flooring, orb crystal chandelier, eclectic transitional",Contemporary,Traditional,high,"Travertine tile, dark wood built-ins, striped armchairs, a bold chevron fireplace column, and a large crystal orb chandelier."
93d40a33bb68bb8d7b,https://www.hgtv.com/shows/property-brothers/jonathan-and-drew-scotts-50-most-dramatic-transformations-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__93d40a33bb68bb8d7b_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__93d40a33bb68bb8d7b_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__93d40a33bb68bb8d7b.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__93d40a33bb68bb8d7b.jpg,"pale blue walls, chevron drapery, white and olive seating, patterned purple area rug, eclectic contemporary",Contemporary,Traditional,medium,"Bold chevron curtains, vibrant pink and green palette, rolled-arm armchairs, black lacquered coffee tables, and geometric patterned textiles."
98625ec09d7ad72f86,https://www.hgtv.com/shows/property-brothers/rockin-renos-from-hgtvs-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__98625ec09d7ad72f86_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__98625ec09d7ad72f86_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__98625ec09d7ad72f86.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__98625ec09d7ad72f86.jpg,"slate blue walls, white herringbone fireplace tile, dark wood accent cabinet, dark hardwood flooring, warm wall sconces, transitional",Traditional,Rustic,high,"Ornate white mantel, damask patterned armchairs, crown molding, and a heavy slatted rustic wood coffee table."
cfc7556545ba26d354,https://www.hgtv.com/shows/property-brothers/rockin-renos-from-hgtvs-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/entryway__cfc7556545ba26d354_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/entryway__cfc7556545ba26d354_orig.jpg,entryway,train,/home/jupyter/clean_108_WITH_LABELS/before/entryway__cfc7556545ba26d354.jpg,/home/jupyter/clean_108_WITH_LABELS/after/entryway__cfc7556545ba26d354.jpg,"deep blue and charcoal walls, dark wood flooring, industrial glass cylinder chandelier, contemporary game room",Contemporary,Traditional,medium,"Dark wood flooring, bold blue and black accent walls, geometric rug, linear glass chandelier, and classic wood staircase."
8d5174257e8f5d4ba2,https://www.hgtv.com/shows/property-brothers/rockin-renos-from-hgtvs-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/kitchen__8d5174257e8f5d4ba2_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/kitchen__8d5174257e8f5d4ba2_orig.jpg,kitchen,train,/home/jupyter/clean_108_WITH_LABELS/before/kitchen__8d5174257e8f5d4ba2.jpg,/home/jupyter/clean_108_WITH_LABELS/after/kitchen__8d5174257e8f5d4ba2.jpg,"navy blue and white walls, white and dark wood shaker cabinetry, gray herringbone tile flooring, bronze pendant lighting, transitional",Traditional,Farmhouse,high,"White shaker cabinets, navy walls, dark wood island, herringbone tile floor, industrial pendant lights, and subway tile backsplash."
eef4441d467f4e7a0f,https://www.hgtv.com/shows/property-brothers/rockin-renos-from-hgtvs-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__eef4441d467f4e7a0f_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__eef4441d467f4e7a0f_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__eef4441d467f4e7a0f.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__eef4441d467f4e7a0f.jpg,"light gray walls, charcoal fireplace mantel, sliding wood barn door, blue patterned rug, recessed lighting, transitional rustic",Contemporary,Rustic,high,"Sliding wooden barn door, blocky wood coffee table, clean-lined grey sofa, blue armchairs, and neutral color palette."
ee4b164bad7711c747,https://www.hgtv.com/shows/property-brothers/room-transformations-from-the-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/living_room__ee4b164bad7711c747_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/living_room__ee4b164bad7711c747_orig.jpg,living room,train,/home/jupyter/clean_108_WITH_LABELS/before/living_room__ee4b164bad7711c747.jpg,/home/jupyter/clean_108_WITH_LABELS/after/living_room__ee4b164bad7711c747.jpg,"stone accent wall, white shaker built-in cabinet, dark wood flooring with patterned rug, rustic wood chandelier, rustic transitional",Rustic,Traditional,high,"Rough stone fireplace wall, exposed dark wood ceiling beams, traditional turned-leg coffee table, classic chandelier, and patterned area rug."
92ff1faf7aac6a0621,https://www.hgtv.com/shows/property-brothers/room-transformations-from-the-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/kitchen__92ff1faf7aac6a0621_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/kitchen__92ff1faf7aac6a0621_orig.jpg,kitchen,train,/home/jupyter/clean_108_WITH_LABELS/before/kitchen__92ff1faf7aac6a0621.jpg,/home/jupyter/clean_108_WITH_LABELS/after/kitchen__92ff1faf7aac6a0621.jpg,"cream tile backsplash with brown accents, off-white shaker cabinetry, dark wood flooring, warm under-cabinet lighting, transitional kitchen",Traditional,Farmhouse,high,"Arched raised-panel cabinets, granite countertops, and decorative tile borders pair with cup pulls and stainless steel appliances."
2e3a34ade3a9567377,https://www.hgtv.com/shows/property-brothers/room-transformations-from-the-property-brothers-pictures,/content/drive/MyDrive/lora_dataset_final/dataset_lora/before/dining_room__2e3a34ade3a9567377_orig.jpg,/content/drive/MyDrive/lora_dataset_final/dataset_lora/after/dining_room__2e3a34ade3a9567377_orig.jpg,dining room,train,/home/jupyter/clean_108_WITH_LABELS/before/dining_room__2e3a34ade3a9567377.jpg,/home/jupyter/clean_108_WITH_LABELS/after/dining_room__2e3a34ade3a9567377.jpg,"Two-tone mustard and brown walls with white trim, dark hardwood flooring, rustic wagon-wheel candle chandelier, warm traditional",Traditional,Rustic,high,"Dark wood dining table, black cane-back chairs, distressed wagon-wheel chandelier, and warm ochre and brown walls."
