pair_id,room_type,split,base_clip_t,lora_clip_t,base_aesthetic,lora_aesthetic,base_clipiqa_quality,lora_clipiqa_quality,base_clipiqa_realism,lora_clipiqa_realism,base_ssim_input,lora_ssim_input,base_dino_input,lora_dino_input,prompt_colors,base_palette_prompt,lora_palette_prompt,base_palette_hits,lora_palette_hits,base_palette_target,lora_palette_target,base_palette_deltaE,lora_palette_deltaE,lora_closer_palette,base_clip_i_target,lora_clip_i_target,base_dino_target,lora_dino_target,base_lpips_target,lora_lpips_target,lora_closer_clip_i,lora_closer_dino,lora_closer_lpips
living_room__04d7b6b87ea31e7c1f,living_room,train,0.31439995765686035,0.30654990673065186,3.010735034942627,2.710418462753296,0.9739321830734081,0.9046212972381167,0.999966650015941,0.9999471328361207,0.29250778220199897,0.3163682036448184,0.5802263021469116,0.6885408163070679,white;cream;wood;rust,0.75,0.75,white;cream;wood,white;cream;wood,0.7421523732902097,0.7612199270027815,7.455017551465443,6.820824137415366,True,0.7262109518051147,0.7561122179031372,0.7664167881011963,0.7830009460449219,0.6570358276367188,0.6156114935874939,True,True,True
bedroom__3bf5b071505e5f461c,bedroom,train,0.33648228645324707,0.3263624608516693,2.5739946365356445,3.0385563373565674,0.9899146583935928,0.9987101942039233,0.999997629330835,0.9999973388508385,0.47753592472916867,0.3560568515438061,0.8052520155906677,0.7328431606292725,beige;taupe;red,0.6666666666666666,0.6666666666666666,beige;taupe,beige;taupe,0.6804817461806537,0.6849055708159918,9.623857034468644,9.46185757614638,True,0.8896019458770752,0.8909252882003784,0.738817572593689,0.7915598750114441,0.5881906747817993,0.586310088634491,True,True,True
kitchen__8d5174257e8f5d4ba2,kitchen,train,0.3581031560897827,0.3575289845466614,2.901137351989746,2.642538070678711,0.9667568176797362,0.9925326184120382,0.9416701807974437,0.9717618997829646,0.1368460084812584,0.12821216131240945,0.7863365411758423,0.8350923657417297,white;gray;wood;blue;navy;bronze,0.5,0.5,white;gray;navy,white;gray;navy,0.7772020070662201,0.7582976139535194,6.30137447625242,6.916983496335702,False,0.6480109691619873,0.6806533336639404,0.47627800703048706,0.5894938707351685,0.6404628157615662,0.6230485439300537,True,True,True
bathroom__556fd83103f6465b28,bathroom,train,0.33676186203956604,0.36365294456481934,3.9313230514526367,3.3750479221343994,0.8674130324834397,0.9929421772873762,0.9999727976065481,0.9999778569539913,0.3207766820820933,0.34040707947963816,0.26072314381599426,0.3772103488445282,beige;greige;wood,1.0,1.0,beige;greige;wood,beige;greige;wood,0.8065834188983166,0.7788458396949781,5.37369883844505,6.248553695590282,False,0.6114366054534912,0.6905476450920105,0.28296321630477905,0.36286401748657227,0.6047990918159485,0.609765887260437,True,True,False
dining_room__a3d50f1aa324ab2046,dining_room,train,0.38681140542030334,0.3880672752857208,2.7333521842956543,1.974484920501709,0.9893193352890043,0.9919181423872833,0.9998761751553181,0.9999743851523288,0.275934914189505,0.23276205052839483,0.5658989548683167,0.24512925744056702,beige;blue;teal;silver,0.75,1.0,beige;teal;silver,beige;blue;teal;silver,0.7772614414261055,0.7523129151519012,6.299462743944659,7.1150732751989185,False,0.7698202133178711,0.6806322336196899,0.7469360828399658,0.41365399956703186,0.5285329222679138,0.5666970014572144,False,False,False
entryway__cfc7556545ba26d354,entryway,train,0.38736748695373535,0.39094942808151245,4.416603088378906,3.38063645362854,0.9905184777321557,0.7234769664138977,0.9994578329931944,0.9999929801451645,0.2463254292820877,0.25640531562846686,0.1353173553943634,0.13010357320308685,charcoal;wood;blue,0.3333333333333333,0.3333333333333333,charcoal,charcoal,0.8101067900431393,0.8119719861203223,5.2647300111573045,5.207235981685314,True,0.5556751489639282,0.6731274127960205,0.3464902639389038,0.2315090000629425,0.6312798857688904,0.6114113330841064,True,False,True
game_room__8857847d510f6c7ab1,game_room,train,0.3792001008987427,0.3876991271972656,3.392510414123535,2.7136950492858887,0.9531646278841374,0.9625682862396645,0.9996701540766937,0.999959013703863,0.2966450087219548,0.29175477304256914,0.2696644067764282,0.22050341963768005,greige;wood,1.0,1.0,greige;wood,greige;wood,0.7445115052691493,0.7494620164444014,7.375674332289616,7.209991031254176,True,0.6944373846054077,0.7032335996627808,0.25960472226142883,0.22508226335048676,0.6253267526626587,0.6108675003051758,True,False,True
living_room__657bdc998f79d35cf5,living_room,train,0.3587417006492615,0.3408564329147339,3.3719239234924316,2.835625648498535,0.9972599443021083,0.9948203621702343,0.9988354343894752,0.9995193280336339,0.3345588067745361,0.2846068051933379,0.6206963062286377,0.6139084696769714,gray;wood,0.5,0.5,gray,gray,0.7516625179710167,0.7511941206249969,7.136695876443097,7.1522794440688156,False,0.7402573227882385,0.7495588064193726,0.5576792359352112,0.5650216937065125,0.6245183944702148,0.6015119552612305,True,True,True
bedroom__253c04c76b80fa780f,bedroom,train,0.3728507161140442,0.3396705687046051,2.089188575744629,2.598158597946167,0.9949594439619622,0.999398088291132,0.9999939481608697,0.9999974656209069,0.3126316820965319,0.2979503717218075,0.16269591450691223,0.7449980974197388,wood;teal;brass,0.3333333333333333,0.3333333333333333,teal,teal,0.6940934719961124,0.7007609531002078,9.128716041782491,8.889711463009746,True,0.7651944756507874,0.806979238986969,0.31880050897598267,0.7904402017593384,0.6504185795783997,0.6835757493972778,True,True,False
kitchen__a995d48c5229d692aa,kitchen,train,0.33883005380630493,0.3325360417366028,3.9410762786865234,3.2437376976013184,0.9797691319071469,0.9892193720868061,0.9993027758201322,0.9999173251370143,0.22568863854186846,0.19639414296199725,0.02996913157403469,0.3125617206096649,greige;wood,1.0,1.0,greige;wood,greige;wood,0.8236254198851486,0.8092656064290681,4.850985998672971,5.290702532720667,False,0.6251307129859924,0.7935742735862732,0.27412980794906616,0.47593778371810913,0.6405015587806702,0.5810201168060303,True,True,True
